iter	Passed	Remaining
0	176	176041
1	205	102553
2	231	76871
3	256	63761
4	285	56816
5	308	51042
6	330	46821
7	352	43698
8	376	41506
9	403	39909
10	426	38364
11	449	37005
12	471	35764
13	494	34803
14	516	33944
15	538	33137
16	592	34240
17	619	33819
18	645	33307
19	668	32764
20	692	32289
21	716	31837
22	739	31417
23	766	31162
24	791	30874
25	819	30712
26	847	30554
27	872	30292
28	898	30068
29	925	29909
30	953	29792
31	978	29611
32	1004	29428
33	1032	29341
34	1060	29233
35	1085	29073
36	1115	29041
37	1142	28934
38	1175	28957
39	1204	28912
40	1230	28787
41	1256	28651
42	1285	28600
43	1312	28515
44	1337	28393
45	1361	28243
46	1388	28159
47	1413	28034
48	1437	27902
49	1461	27769
50	1483	27596
51	1508	27501
52	1536	27448
53	1561	27356
54	1593	27375
55	1621	27337
56	1652	27339
57	1679	27285
58	1709	27257
59	1741	27287
60	1768	27219
61	1798	27207
62	1827	27186
63	1854	27128
64	1881	27058
65	1909	27022
66	1935	26958
67	1963	26910
68	1992	26880
69	2017	26802
70	2043	26732
71	2067	26648
72	2093	26586
73	2121	26545
74	2149	26506
75	2176	26459
76	2201	26392
77	2231	26381
78	2262	26371
79	2285	26284
80	2305	26162
81	2327	26055
82	2351	25981
83	2373	25883
84	2395	25789
85	2417	25689
86	2438	25586
87	2460	25500
88	2486	25448
89	2508	25359
90	2531	25286
91	2552	25195
92	2575	25118
93	2597	25032
94	2620	24961
95	2645	24915
96	2667	24834
97	2690	24760
98	2714	24701
99	2739	24652
100	2764	24603
101	2787	24540
102	2816	24526
103	2839	24461
104	2862	24398
105	2884	24324
106	2905	24246
107	2927	24182
108	2949	24113
109	2970	24034
110	2993	23976
111	3018	23931
112	3043	23890
113	3065	23828
114	3087	23761
115	3110	23703
116	3133	23645
117	3157	23601
118	3183	23565
119	3243	23782
120	3264	23711
121	3287	23659
122	3309	23595
123	3331	23534
124	3354	23482
125	3375	23417
126	3396	23348
127	3419	23292
128	3439	23223
129	3460	23157
130	3484	23113
131	3506	23055
132	3528	23000
133	3548	22934
134	3571	22883
135	3593	22831
136	3616	22779
137	3638	22727
138	3659	22669
139	3681	22617
140	3704	22570
141	3727	22520
142	3748	22464
143	3769	22406
144	3791	22355
145	3814	22311
146	3836	22260
147	3858	22212
148	3878	22152
149	3900	22103
150	3919	22039
151	3938	21973
152	3960	21922
153	3981	21872
154	4003	21825
155	4027	21788
156	4053	21765
157	4077	21730
158	4102	21699
159	4127	21668
160	4149	21625
161	4170	21575
162	4193	21533
163	4217	21500
164	4241	21464
165	4267	21438
166	4288	21390
167	4310	21348
168	4332	21302
169	4356	21272
170	4377	21222
171	4401	21187
172	4429	21174
173	4451	21132
174	4476	21101
175	4500	21072
176	4525	21040
177	4547	20999
178	4571	20967
179	4593	20926
180	4616	20888
181	4638	20848
182	4662	20815
183	4685	20780
184	4708	20742
185	4725	20682
186	4749	20651
187	4772	20614
188	4799	20594
189	4821	20555
190	4843	20514
191	4865	20476
192	4891	20451
193	4912	20409
194	4936	20379
195	4959	20344
196	4987	20329
197	5012	20301
198	5031	20252
199	5053	20213
200	5075	20174
201	5099	20144
202	5122	20113
203	5145	20077
204	5169	20045
205	5191	20009
206	5212	19968
207	5235	19935
208	5257	19898
209	5279	19861
210	5303	19830
211	5325	19796
212	5347	19758
213	5370	19723
214	5392	19690
215	5413	19648
216	5433	19606
217	5458	19579
218	5478	19538
219	5500	19501
220	5522	19466
221	5546	19437
222	5569	19406
223	5594	19380
224	5618	19350
225	5640	19318
226	5664	19289
227	5687	19256
228	5711	19229
229	5733	19195
230	5761	19181
231	5783	19144
232	5805	19111
233	5828	19080
234	5851	19047
235	5911	19137
236	5933	19102
237	5953	19062
238	5977	19032
239	5998	18996
240	6024	18972
241	6044	18933
242	6066	18897
243	6088	18863
244	6110	18830
245	6132	18797
246	6159	18777
247	6181	18743
248	6202	18708
249	6226	18679
250	6248	18645
251	6271	18615
252	6292	18579
253	6319	18561
254	6344	18535
255	6366	18502
256	6390	18473
257	6414	18448
258	6436	18414
259	6458	18382
260	6480	18350
261	6505	18324
262	6527	18292
263	6549	18258
264	6572	18230
265	6596	18201
266	6618	18169
267	6637	18129
268	6659	18096
269	6681	18066
270	6704	18035
271	6727	18005
272	6750	17977
273	6774	17949
274	6796	17917
275	6821	17893
276	6842	17859
277	6865	17831
278	6886	17796
279	6906	17760
280	6929	17731
281	6951	17698
282	6973	17666
283	6994	17634
284	7018	17607
285	7041	17579
286	7063	17547
287	7085	17515
288	7105	17480
289	7131	17460
290	7157	17438
291	7182	17414
292	7205	17386
293	7227	17356
294	7250	17327
295	7272	17297
296	7296	17271
297	7319	17242
298	7341	17212
299	7361	17175
300	7382	17143
301	7404	17113
302	7462	17166
303	7484	17135
304	7507	17108
305	7530	17079
306	7554	17053
307	7575	17020
308	7598	16991
309	7619	16958
310	7639	16924
311	7663	16899
312	7687	16872
313	7709	16843
314	7730	16811
315	7753	16783
316	7774	16749
317	7796	16720
318	7822	16699
319	7846	16674
320	7870	16648
321	7887	16608
322	7910	16580
323	7933	16552
324	7958	16529
325	7979	16498
326	8002	16470
327	8025	16443
328	8048	16415
329	8071	16386
330	8094	16359
331	8118	16335
332	8140	16305
333	8165	16281
334	8186	16250
335	8207	16219
336	8232	16196
337	8258	16174
338	8281	16148
339	8308	16128
340	8332	16102
341	8352	16069
342	8376	16044
343	8399	16017
344	8420	15986
345	8442	15958
346	8464	15928
347	8485	15898
348	8509	15873
349	8534	15850
350	8558	15824
351	8582	15800
352	8605	15773
353	8627	15744
354	8653	15723
355	8676	15695
356	8699	15669
357	8722	15642
358	8744	15612
359	8763	15578
360	8786	15552
361	8808	15524
362	8833	15501
363	8856	15474
364	8878	15446
365	8900	15418
366	8924	15392
367	8946	15364
368	8969	15337
369	8994	15314
370	9016	15286
371	9037	15256
372	9097	15291
373	9122	15269
374	9146	15243
375	9167	15214
376	9189	15185
377	9213	15160
378	9238	15137
379	9261	15111
380	9284	15084
381	9305	15055
382	9327	15026
383	9351	15002
384	9375	14976
385	9399	14951
386	9422	14925
387	9445	14899
388	9468	14872
389	9490	14844
390	9512	14816
391	9535	14789
392	9557	14762
393	9582	14738
394	9608	14716
395	9630	14688
396	9655	14665
397	9676	14635
398	9698	14608
399	9721	14582
400	9745	14556
401	9767	14529
402	9788	14501
403	9811	14473
404	9831	14443
405	9853	14416
406	9876	14389
407	9899	14363
408	9919	14333
409	9940	14304
410	9965	14280
411	9990	14258
412	10008	14225
413	10030	14197
414	10053	14171
415	10077	14146
416	10098	14119
417	10118	14088
418	10142	14063
419	10164	14036
420	10190	14015
421	10214	13989
422	10234	13960
423	10261	13939
424	10283	13913
425	10306	13887
426	10332	13865
427	10354	13837
428	10374	13808
429	10395	13780
430	10415	13750
431	10440	13726
432	10463	13701
433	10486	13676
434	10509	13649
435	10532	13625
436	10553	13596
437	10575	13569
438	10599	13544
439	10656	13562
440	10677	13534
441	10698	13506
442	10719	13478
443	10743	13453
444	10764	13425
445	10787	13399
446	10809	13372
447	10831	13346
448	10854	13320
449	10878	13295
450	10898	13267
451	10921	13240
452	10943	13213
453	10965	13188
454	10987	13160
455	11008	13133
456	11031	13107
457	11056	13084
458	11079	13058
459	11102	13033
460	11125	13007
461	11148	12982
462	11169	12954
463	11190	12927
464	11214	12903
465	11237	12877
466	11258	12850
467	11279	12822
468	11303	12797
469	11326	12772
470	11347	12744
471	11368	12716
472	11387	12687
473	11408	12660
474	11432	12636
475	11454	12609
476	11475	12582
477	11497	12555
478	11521	12532
479	11544	12506
480	11567	12481
481	11589	12455
482	11615	12432
483	11636	12405
484	11657	12378
485	11678	12350
486	11700	12325
487	11722	12299
488	11744	12272
489	11765	12245
490	11786	12218
491	11806	12190
492	11832	12168
493	11853	12141
494	11875	12115
495	11896	12088
496	11919	12063
497	11939	12035
498	11956	12004
499	11979	11979
500	12002	11954
501	12027	11931
502	12055	11911
503	12082	11890
504	12102	11863
505	12125	11837
506	12148	11812
507	12170	11787
508	12193	11761
509	12217	11738
510	12238	11711
